cmd,speed,acc
10.0,5.800000000000001,3.305584
15.0,5.800000000000001,3.303688
20.0,5.800000000000001,3.3020802
25.0,5.800000000000001,3.3002148
30.0,5.800000000000001,3.2957077
35.0,5.800000000000001,3.280859
40.0,5.800000000000001,3.9011612
45.0,5.800000000000001,3.5854015
50.0,5.800000000000001,3.6590214
55.0,5.800000000000001,3.6793232
60.0,5.800000000000001,3.643135
65.0,5.800000000000001,3.6517239
70.0,5.800000000000001,3.647091
75.0,5.800000000000001,3.6406593
80.0,5.800000000000001,3.6386547
0.0,6.0,3.634819
5.0,6.0,3.6314602
10.0,6.0,3.628584
15.0,6.0,3.6256542
20.0,6.0,3.6229725
25.0,6.0,3.6204605
30.0,6.0,3.618082
35.0,6.0,3.615862
40.0,6.0,3.6137753
45.0,6.0,3.611824
50.0,6.0,3.6100464
55.0,6.0,3.608488
60.0,6.0,3.6071644
65.0,6.0,3.6059837
70.0,6.0,3.6030712
75.0,6.0,3.591938
80.0,6.0,4.155855
0.0,6.2,3.8968163
5.0,6.2,3.9334126
10.0,6.2,3.963297
15.0,6.2,3.9338837
20.0,6.2,3.9381351
25.0,6.2,3.9368763
30.0,6.2,3.9317627
35.0,6.2,3.9301567
40.0,6.2,3.9277
45.0,6.2,3.9252052
50.0,6.2,3.9231339
55.0,6.2,3.9210548
60.0,6.2,3.919094
65.0,6.2,3.917263
70.0,6.2,3.915516
75.0,6.2,3.9138718
80.0,6.2,3.9123154
0.0,6.4,3.9108353
5.0,6.4,3.909462
10.0,6.4,3.9082298
15.0,6.4,3.9071732
20.0,6.4,3.9063416
25.0,6.4,3.904646
30.0,6.4,3.8970108
35.0,6.4,4.4026585
40.0,6.4,4.19611
45.0,6.4,4.2064247
50.0,6.4,4.238325
55.0,6.4,4.2166805
60.0,6.4,4.217695
65.0,6.4,4.2180023
70.0,6.4,4.2143917
75.0,6.4,4.213026
80.0,6.4,4.211458
0.0,6.6000000000000005,4.2097034
5.0,6.6000000000000005,4.2082195
10.0,6.6000000000000005,4.20677
15.0,6.6000000000000005,4.2053795
20.0,6.6000000000000005,4.204069
25.0,6.6000000000000005,4.2028217
30.0,6.6000000000000005,4.2016373
35.0,6.6000000000000005,4.20051
40.0,6.6000000000000005,4.1994286
45.0,6.6000000000000005,4.198408
50.0,6.6000000000000005,4.1974716
55.0,6.6000000000000005,4.196659
60.0,6.6000000000000005,4.196022
65.0,6.6000000000000005,4.1951256
70.0,6.6000000000000005,4.1902733
75.0,6.6000000000000005,4.6377296
80.0,6.6000000000000005,4.477436
0.0,6.800000000000001,4.4711914
5.0,6.800000000000001,4.500263
10.0,6.800000000000001,4.485668
15.0,6.800000000000001,4.484892
20.0,6.800000000000001,4.4856052
25.0,6.800000000000001,4.4832935
30.0,6.800000000000001,4.4821835
35.0,6.800000000000001,4.481163
40.0,6.800000000000001,4.4799786
45.0,6.800000000000001,4.478941
50.0,6.800000000000001,4.4779453
55.0,6.800000000000001,4.476982
60.0,6.800000000000001,4.4760704
65.0,6.800000000000001,4.4752007
70.0,6.800000000000001,4.474371
75.0,6.800000000000001,4.4735775
80.0,6.800000000000001,4.4728146
0.0,7.0,4.472082
5.0,7.0,4.4713993
10.0,7.0,4.4707985
15.0,7.0,4.470314
20.0,7.0,4.4698696
25.0,7.0,4.4669914
30.0,7.0,4.858
35.0,7.0,4.7367954
40.0,7.0,4.721777
45.0,7.0,4.7456646
50.0,7.0,4.736576
55.0,7.0,4.7351723
60.0,7.0,4.7357693
65.0,7.0,4.734394
70.0,7.0,4.733574
75.0,7.0,4.732895
80.0,7.0,4.732126
0.0,7.2,4.7314224
5.0,7.2,4.7307568
10.0,7.2,4.73011
15.0,7.2,4.729496
20.0,7.2,4.7289085
25.0,7.2,4.728346
30.0,7.2,4.727808
35.0,7.2,4.727289
40.0,7.2,4.7267838
45.0,7.2,4.726309
50.0,7.2,4.7258873
55.0,7.2,4.7255383
60.0,7.2,4.725336
65.0,7.2,4.7237453
70.0,7.2,5.0613823
75.0,7.2,4.9719944
80.0,7.2,4.9537544
0.0,7.4,4.9719524
5.0,7.4,4.9666843
10.0,7.4,4.965351
15.0,7.4,4.9657135
20.0,7.4,4.964939
25.0,7.4,4.9643917
30.0,7.4,4.963951
35.0,7.4,4.9634724
40.0,7.4,4.963022
45.0,7.4,4.962595
50.0,7.4,4.962181
55.0,7.4,4.961788
60.0,7.4,4.9614086
65.0,7.4,4.961046
70.0,7.4,4.960701
75.0,7.4,4.9603653
80.0,7.4,4.960039
0.0,7.6000000000000005,4.9597263
5.0,7.6000000000000005,4.959448
10.0,7.6000000000000005,4.959223
15.0,7.6000000000000005,4.9591484
20.0,7.6000000000000005,4.9583397
25.0,7.6000000000000005,5.24667
30.0,7.6000000000000005,5.182293
35.0,7.6000000000000005,5.1643314
40.0,7.6000000000000005,5.1774235
45.0,7.6000000000000005,5.1745644
50.0,7.6000000000000005,5.173584
55.0,7.6000000000000005,5.173773
60.0,7.6000000000000005,5.173359
65.0,7.6000000000000005,5.1730347
70.0,7.6000000000000005,5.1727695
75.0,7.6000000000000005,5.172493
80.0,7.6000000000000005,5.1722317
0.0,7.800000000000001,5.171978
5.0,7.800000000000001,5.1717377
10.0,7.800000000000001,5.171503
15.0,7.800000000000001,5.171282
20.0,7.800000000000001,5.171068
25.0,7.800000000000001,5.170862
30.0,7.800000000000001,5.170664
35.0,7.800000000000001,5.170471
40.0,7.800000000000001,5.1702843
45.0,7.800000000000001,5.1701183
50.0,7.800000000000001,5.1699944
55.0,7.800000000000001,5.1699963
60.0,7.800000000000001,5.169636
65.0,7.800000000000001,5.4133663
70.0,7.800000000000001,5.3680115
75.0,7.800000000000001,5.352192
80.0,7.800000000000001,5.3612156
0.0,8.0,5.359762
5.0,8.0,5.3591766
10.0,8.0,5.359272
15.0,8.0,5.3590813
20.0,8.0,5.358919
25.0,8.0,5.3587894
30.0,8.0,5.358652
35.0,8.0,5.3585224
40.0,8.0,5.3584003
45.0,8.0,5.35828
50.0,8.0,5.3581657
55.0,8.0,5.358055
60.0,8.0,5.35795
65.0,8.0,5.357851
70.0,8.0,5.357752
75.0,8.0,5.3576584
80.0,8.0,5.3575687
0.0,8.200000000000001,5.3574867
5.0,8.200000000000001,5.3574467
10.0,8.200000000000001,5.3574867
15.0,8.200000000000001,5.3573685
20.0,8.200000000000001,5.561548
25.0,8.200000000000001,5.530205
30.0,8.200000000000001,5.5172596
35.0,8.200000000000001,5.523306
40.0,8.200000000000001,5.522621
