cmd,speed,acc
75.0,1.0,0.56277555
80.0,1.0,0.5627692
0.0,1.2000000000000002,0.5630969
5.0,1.2000000000000002,0.56307614
10.0,1.2000000000000002,0.563117
15.0,1.2000000000000002,0.56311864
20.0,1.2000000000000002,0.56312704
25.0,1.2000000000000002,0.563131
30.0,1.2000000000000002,0.5631352
35.0,1.2000000000000002,0.5631385
40.0,1.2000000000000002,0.5631412
45.0,1.2000000000000002,0.5631436
50.0,1.2000000000000002,0.5631455
55.0,1.2000000000000002,0.56314707
60.0,1.2000000000000002,0.5631485
65.0,1.2000000000000002,0.5631497
70.0,1.2000000000000002,0.56315076
75.0,1.2000000000000002,0.5631517
80.0,1.2000000000000002,0.5631526
0.0,1.4000000000000001,0.56315345
5.0,1.4000000000000001,0.5631542
10.0,1.4000000000000001,0.56315506
15.0,1.4000000000000001,0.5631558
20.0,1.4000000000000001,0.5631565
25.0,1.4000000000000001,0.5631571
30.0,1.4000000000000001,0.56315744
35.0,1.4000000000000001,0.5632673
40.0,1.4000000000000001,0.5632644
45.0,1.4000000000000001,0.563263
50.0,1.4000000000000001,0.56325716
55.0,1.4000000000000001,0.56325465
60.0,1.4000000000000001,0.5632534
65.0,1.4000000000000001,0.56325334
70.0,1.4000000000000001,0.56325376
75.0,1.4000000000000001,0.56325436
80.0,1.4000000000000001,0.563255
0.0,1.6,0.56325567
5.0,1.6,0.56325614
10.0,1.6,0.56325656
15.0,1.6,0.5632569
20.0,1.6,0.5632572
25.0,1.6,0.56325746
30.0,1.6,0.56325763
35.0,1.6,0.5632578
40.0,1.6,0.563258
45.0,1.6,0.5632581
50.0,1.6,0.56325823
55.0,1.6,0.56325835
60.0,1.6,0.5632584
65.0,1.6,0.5632585
70.0,1.6,0.5632585
75.0,1.6,0.5633298
80.0,1.6,0.5633071
0.0,1.8,0.56330746
5.0,1.8,0.563301
10.0,1.8,0.5632993
15.0,1.8,0.5632979
20.0,1.8,0.5632976
25.0,1.8,0.5632976
30.0,1.8,0.56329787
35.0,1.8,0.56329817
40.0,1.8,0.56329846
45.0,1.8,0.5632987
50.0,1.8,0.56329894
55.0,1.8,0.56329906
60.0,1.8,0.5632992
65.0,1.8,0.5632993
70.0,1.8,0.5632994
75.0,1.8,0.5632995
80.0,1.8,0.56329954
0.0,2.0,0.5632996
5.0,2.0,0.5632996
10.0,2.0,0.5632996
15.0,2.0,0.56329966
20.0,2.0,0.56329966
25.0,2.0,0.56329966
30.0,2.0,0.56333566
35.0,2.0,0.5633229
40.0,2.0,0.5633233
45.0,2.0,0.5633199
50.0,2.0,0.5633191
55.0,2.0,0.5633184
60.0,2.0,0.56331825
65.0,2.0,0.56331825
70.0,2.0,0.5633184
75.0,2.0,0.5633185
80.0,2.0,0.5633186
0.0,2.2,0.5633188
5.0,2.2,0.56331885
10.0,2.2,0.563319
15.0,2.2,0.5633191
20.0,2.2,0.56331915
25.0,2.2,0.5633192
30.0,2.2,0.5633192
35.0,2.2,0.5633192
40.0,2.2,0.56331927
45.0,2.2,0.56331927
